2400
(-4.000000, 0.500000, -0.229287) (-4.500000, 0.000000, -0.229287) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-4.500000, 0.500000, -0.159531) (0.000000, 1.000000) 
(-4.000000, 0.500000, -0.229287) (-4.500000, 0.500000, -0.229287) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-4.500000, 0.500000, -0.073944) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-4.500000, 0.500000, -0.073944) (0.000000, 1.000000) 
(-4.000000, 0.500000, -0.229287) (-4.500000, 0.500000, -0.229287) (0.000000, 1.000000) 
(-4.000000, 1.000000, 0.092242) (-4.500000, 0.500000, 0.092242) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-4.500000, 1.000000, -0.073944) (0.000000, 1.000000) 
(-4.000000, 1.000000, 0.092242) (-4.500000, 1.000000, 0.092242) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-4.500000, 1.000000, 0.029748) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-4.500000, 1.000000, 0.029748) (0.000000, 1.000000) 
(-4.000000, 1.000000, 0.092242) (-4.500000, 1.000000, 0.092242) (0.000000, 1.000000) 
(-4.000000, 1.500000, 0.391187) (-4.500000, 1.000000, 0.391187) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-4.500000, 1.500000, 0.029748) (0.000000, 1.000000) 
(-4.000000, 1.500000, 0.391187) (-4.500000, 1.500000, 0.391187) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-4.500000, 1.500000, 0.126155) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-4.500000, 1.500000, 0.126155) (0.000000, 1.000000) 
(-4.000000, 1.500000, 0.391187) (-4.500000, 1.500000, 0.391187) (0.000000, 1.000000) 
(-4.000000, 2.000000, 0.594356) (-4.500000, 1.500000, 0.594356) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-4.500000, 2.000000, 0.126155) (0.000000, 1.000000) 
(-4.000000, 2.000000, 0.594356) (-4.500000, 2.000000, 0.594356) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-4.500000, 2.000000, 0.191676) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-4.500000, 2.000000, 0.191676) (0.000000, 1.000000) 
(-4.000000, 2.000000, 0.594356) (-4.500000, 2.000000, 0.594356) (0.000000, 1.000000) 
(-4.000000, 2.500000, 0.652006) (-4.500000, 2.000000, 0.652006) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-4.500000, 2.500000, 0.191676) (0.000000, 1.000000) 
(-4.000000, 2.500000, 0.652006) (-4.500000, 2.500000, 0.652006) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-4.500000, 2.500000, 0.210268) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-4.500000, 2.500000, 0.210268) (0.000000, 1.000000) 
